,Erro y=0.00,Erro y=0.02,Erro y=0.04,Erro y=0.06,Erro y=0.08,Erro y=0.10,Erro y=0.12,Erro y=0.14,Erro y=0.16,Erro y=0.18,Erro y=0.20,Erro y=0.22,Erro y=0.24,Erro y=0.25,Erro y=0.27,Erro y=0.29,Erro y=0.31,Erro y=0.33,Erro y=0.35,Erro y=0.37,Erro y=0.39,Erro y=0.41,Erro y=0.43,Erro y=0.45,Erro y=0.47,Erro y=0.49,Erro y=0.51,Erro y=0.53,Erro y=0.55,Erro y=0.57,Erro y=0.59,Erro y=0.61,Erro y=0.63,Erro y=0.65,Erro y=0.67,Erro y=0.69,Erro y=0.71,Erro y=0.73,Erro y=0.75,Erro y=0.76,Erro y=0.78,Erro y=0.80,Erro y=0.82,Erro y=0.84,Erro y=0.86,Erro y=0.88,Erro y=0.90,Erro y=0.92,Erro y=0.94,Erro y=0.96,Erro y=0.98
x=0.31,0.31456656061611776,7.386049810629442,7.015988047460681,6.669119579243394,6.3449794564483835,6.042990108397849,5.762483292813153,5.502724065509091,5.262934590970248,5.0423161627972615,4.840068427372557,4.655405363699849,4.487567997195044,4.335834101982098,4.199525295030375,4.078011979314835,3.970716585189497,3.8771155163362288,3.796740148266281,3.729177165730905,3.6740684675176745,3.6311108162716335,3.600055368173601,3.5807071821928447,3.5729247801900184,3.576619806074297,3.5917568131408206,3.6183531922867926,3.6564792387497236,3.7062583401182825,3.767867252478947,3.8415364135720984,3.92755022069615,4.026247175896921,4.138019771036102,4.263313950431565,4.402627949486268,4.556510265939984,4.725556479883785,4.910404605938206,5.111728645859892,5.330230025904293,5.566626667391783,5.821639569155815,6.0959769916904,6.390316629065817,6.705286520019986,7.041445838476155,7.3992670373264735,7.779120995163705,0.1699610380498984
x=0.33,0.3334870921408144,7.545972032433626,7.177230118662982,6.830861286354423,6.5064580920428545,6.203518769576107,5.921463552089496,5.659652941359606,5.4174063822136285,5.194020098606164,4.988783231422444,4.800991794965415,4.629960283309249,4.475030986774577,4.335581224119897,4.211028771928511,4.100835797640121,4.004511594292432,3.9216143874766605,3.851752448501946,3.794584709000305,3.7498210351163093,3.7172222859799287,3.6966002520307386,3.6878175438301906,3.6907874807048904,3.7054740101224684,3.7318916722353475,3.770105608639613,3.820231599209235,3.882436095047463,3.9569361983858338,4.043999521010305,4.143943831046417,4.257136373546695,4.383992723646472,4.524975003198185,4.680589264958276,4.851381826256804,5.037934322138581,5.240857253784868,5.460781841045073,5.698350058569316,5.954202852830444,6.2289667074932495,6.523238943506845,6.837572390405572,7.172460311482117,7.5283226558892125,7.905494785262015,0.1801838448609428
x=0.35,0.35227423327508994,7.682938969363911,7.315802380913422,6.970325829671486,6.646146656294485,6.342822583050618,6.059844054952458,5.79664835109164,5.552634366266894,5.327177122630245,5.119641304667921,4.929393361150311,4.755811943790504,4.598296632302329,4.45627502316424,4.329208338781784,4.2165957541098935,4.117977649681296,4.032937993019003,3.9611060323208305,3.9021574627268656,3.8558152001772585,3.8218498731095445,3.8000801192157527,3.7903727536192693,3.792642856100855,3.806853808075898,3.8330172944168885,3.8711932703709744,3.9214898791741133,3.9840632909751172,4.059117417896541,4.146903443149359,4.247719083969198,4.361907488955088,4.489855650829286,4.63199219700156,4.788784404759727,4.960734278604406,5.148373528542763,5.352257305494758,5.5729565895016995,5.811049194135699,6.067109450636663,6.341696768126359,6.63534342539108,6.948542119727545,7.281733953714211,7.635297648038152,8.009540792586247,0.19033458053646207
x=0.37,0.3709204694129827,7.797675547965868,7.432403080667801,7.088166796138122,6.764639378204746,6.4614257022407795,6.178072319563944,5.914078510658666,5.668908114295658,5.442001421428766,5.232786563716949,5.040689991195409,4.865145793546022,4.70560375642969,4.561536150127873,4.432443321417205,4.317858204834141,4.217349892010165,4.130526403651329,4.057036803429947,3.9965727809052916,3.948869814798379,3.913708010691625,3.8909126898570636,3.8803547891666006,3.881951116196927,3.895664488712428,3.921503773514821,3.9595238259162464,4.009825317518411,4.072554426280794,4.147902348824922,4.236104580468315,4.33743989372944,4.452228931397785,4.5808323165129625,4.723648170035893,4.881108919523672,5.053677281313591,5.24184130781463,5.446108414207446,5.6669983389300285,5.905035052836393,6.160737714098,6.434610867770189,6.72713420376961,7.038752302402074,7.369864894601081,7.720818223270404,8.091898092034736,0.20040918491752735
x=0.39,0.3894183423086505,7.890812045626794,7.527641399174514,7.184958154309685,6.862463209519461,6.5597991146450445,6.276557479792943,6.012287763367452,5.7665068597997315,5.53870894584515,5.328375128120182,5.134982542042318,4.9580126642476365,4.796958702948089,4.651332015524652,4.520667566955121,4.4045284870384664,4.302509811461182,4.214241505073929,4.139390868871743,4.0776644282409045,4.02880939157806,3.992614757286704,3.96891213472123,3.9575763317161625,3.958525748384946,3.9717226041180367,3.9971730122013613,4.034926904160723,4.085077793721366,4.147762358071793,4.223159801916328,4.3114909576855736,4.413017063514541,4.528038149698809,4.656890955108493,4.7999462886535005,4.957605748935986,5.1302977196841715,5.318472571739403,5.522597026671626,5.7431476746537085,5.980603691298718,6.235438864402512,6.508113119115632,6.799063812975256,7.108697150953943,7.43738013277118,7.785433476447023,8.15312595134702,0.21040362829671244
x=0.41,0.40776045305957015,7.962899667563377,7.602051574897771,7.2612060642867355,6.9400867779290785,6.638366536928585,6.3556732277947265,6.091596904707894,5.845697676984038,5.617513965099068,5.40657075707495,5.212387566611674,5.034485872187745,4.872395892144127,4.725662617628247,4.593851079610915,4.476550867023044,4.373379941182757,4.283987808874056,4.208058124850413,4.145310796300426,4.095503658804304,4.058433787055178,4.033938495279599,4.021896072699622,4.02222628909408,4.034890694889122,4.059892729438286,4.097277640347468,4.147132205924268,4.209584242151416,4.28480186511706,4.37299246979056,4.474401376762022,4.589310090603501,4.7180341076230405,4.8609202079869025,5.018343168754226,5.190701841787646,5.3784145553596385,5.58191382205202,5.801640369313834,6.038036553033873,6.291539267599561,6.562572525242739,6.851539937968526,7.158817389878214,7.4847462275738765,7.829627312673171,8.193716266001832,0.22031391302992312
x=0.43,0.4259394650659996,8.014422701411842,7.65610402094565,7.317358337523882,6.9979277713893335,6.697509534054362,6.415760691751432,6.152304012494107,5.906734569914607,5.678626777211208,5.467541550997169,5.2730333493999835,5.094656882827772,4.931973351901228,4.784556119533508,4.651995769487493,4.533904540252213,4.429920150467672,4.339709051030208,4.262969150580512,4.199432066657425,4.14886495571602,4.111071972637572,4.085895405282445,4.073216522825658,4.072956168648964,4.085075119861967,4.1095742263868145,4.146494333182805,4.195915979784227,4.257958862049245,4.332781032077823,4.420577803933278,4.521580325483934,4.636053770896993,4.7642951047560125,4.9066303682946835,5.06341144184907,5.2350122464241,5.42182436232081,5.6242520649535415,5.842706807734277,6.07760121890774,6.329342722125154,6.598326936666952,6.884931058456855,7.189507461970516,7.512377789704035,7.853827804081805,8.214103262008907,0.23013607513540155
x=0.45,0.4439481069655198,8.04580800497468,7.690214057957825,7.353811964380724,7.036358943261646,6.737571838656267,6.4571310549807475,6.1946854757001635,5.949858110203517,5.722252205880285,5.511457575081276,5.317056914766213,5.1386319344356,4.975769149926199,4.828065242295379,4.69513191907497,4.576600247656195,4.472124456578175,4.381385219956005,4.304092453668208,4.239987659998395,4.188845861085538,4.1504771616699125,4.124727979036822,4.111481973450268,4.1106607063016165,4.122224046125222,4.146170334909861,4.182536319048183,4.23139684106377,4.292864280176073,4.367087722070052,4.454251831245671,4.554575393428311,4.668309491222633,4.795735274099697,4.937161284638918,5.092920307501041,5.263365716702964,5.4488673111356185,5.649806648420855,5.866571913237553,6.0995523876306255,6.3491326261885614,6.615686475999876,6.899571116648463,7.201121325042059,7.520644189064594,7.858414498671289,8.214671030005869,0.2398661858792659
x=0.47,0.46177917554148284,8.05743236564959,7.704748712928349,7.370919026486425,7.055712901627532,6.758862885149291,6.480067806419017,6.2189970228661995,5.97529537287783,5.748588616319246,5.538489146802334,5.344601777281896,5.166529427571576,5.003878574775577,4.856264361694956,4.723315291014428,4.604677462421546,4.500018334520872,4.4090300129632265,4.331432080635901,4.266973995436036,4.215437086664269,4.1766361831028815,4.150420905056515,4.136676649657304,4.135325294116594,4.146325635804691,4.169673581445329,4.205402090648931,4.253580871767235,4.3143158209060495,4.387748188170202,4.474053449158575,4.573439854759553,4.686146628873901,4.81244178234876,4.952619512750546,5.106997164286768,5.275911730846978,5.459715898314408,5.65877364033137,5.873455404552663,6.104132953542049,6.351173954642347,6.614936444405055,6.895763322772019,7.193977056832342,7.509874790039193,7.843724056912198,8.195759292982643,0.24950035334695167
x=0.49,0.479425538604203,8.049628116202552,7.700031909813378,7.368991230507562,7.056285814928991,6.761660586997342,6.484828560926508,6.225474620532826,5.983259997925941,5.75782725834995,5.548805596176191,5.355816257854824,5.17847792801666,5.016411941480347,4.869247213372738,4.736624809094845,4.618202103310805,4.513656501065793,4.422688713768736,4.345025597861344,4.280422574684359,4.228665656748646,4.189573108865865,4.162996772982669,4.148823083673613,4.146973797612877,4.157406455430054,4.180114588562049,4.21512767738624,4.26251086036447,4.322364387428317,4.394822804680136,4.480053851982098,4.578257050508455,4.689661954252626,4.814526038279195,4.9531321977166645,5.105785835656914,5.272811525809806,5.454549247424543,5.65135020592853,5.863572272952187,6.091575103481562,6.335715014834444,6.596339740369876,6.873783198032389,7.168360437152147,7.480362943199972,7.81005448633942,8.157667693133337,0.2590347239999257
x=0.51,0.49688013784373675,8.02268727883579,7.676348283596013,7.34830323460462,7.038340134177715,6.7462133857265005,6.4716464143209915,6.214335156718993,5.973952259082796,5.7501518011371635,5.5425743600775395,5.350852234683342,5.174614667248671,5.013492924955141,4.867125129972063,4.735160756022195,4.617264736132762,4.513121150219445,4.422436481099244,4.344942443125784,4.280398398939025,4.228593387157456,4.189347787715749,4.162514652535634,4.147980727885003,4.145667191662863,4.155530124417681,4.17756072757017,4.211785296415372,4.258264949324346,4.3170951084260745,4.388404721191227,4.472355207038731,4.569139108652195,4.678978424479911,4.802122597308092,4.938846134306416,5.089445837055814,5.25423762630419,5.4335529560458795,5.627734825364741,5.837133414487765,6.0621013934973975,6.302988977503139,6.560138829528989,6.833880939998496,7.124527636878717,7.432368900130721,7.757668164753616,8.100658795345735,0.2684654842170501
x=0.53,0.5141359916531131,7.976864423519594,7.633945775411288,7.3090948842138745,7.00210640067961,6.712741592465292,6.440730810713553,6.185776852578105,5.947559059210593,5.725737965924468,5.519960313561731,5.329864236153634,5.155084457053641,4.995257350388753,4.850025753399404,4.719043444883499,4.601979233059961,4.4985206210211235,4.4083770385804915,4.33128264538059,4.266998721696494,4.2153156708444754,4.176054661037324,4.1490689355353805,4.1342448186327045,4.131502441946264,4.140796211124412,4.162115027864304,4.195482276361321,4.240955577286516,4.298626306342333,4.368618868606932,4.451089714470123,4.546226078239122,4.654244416740766,4.775388522815914,4.909927287906932,5.058152089467143,5.2203737832210795,5.396919287961285,5.588127762148036,5.794346387542784,6.015925795679029,6.2532151979721995,6.506557308902678,6.776283182379915,7.0627071115820454,7.366121768814522,7.686793780122077,8.024959935274364,0.27778886181997964
x=0.55,0.5311861979208834,7.912378357400743,7.573037104865376,7.251572425866702,6.9477841773993925,6.661438030030035,6.392267903619755,6.139979362826038,5.904253798642206,5.684753195539414,5.4811252751988,5.293008815539395,5.120038964205295,4.9618523945234205,4.818092184865696,4.688412335654228,4.572481869166264,4.469988484046748,4.380641758124554,4.304175909555658,4.24035213776941,4.188960572750533,4.149821864561543,4.122788445432992,4.107745494907409,4.104611635015037,4.113339377781422,4.13391534191508,4.1663602496070045,4.21072870823232,4.26710877556836,4.335621301095394,4.4164190301826025,4.509685452655507,4.615633372603671,4.734503172594376,4.866560743072319,5.0120950471210035,5.171415292540942,5.344847688096755,5.532731769641907,5.735416295527686,5.953254730030428,6.1866003589649585,6.435801113054737,6.701194210880231,6.983100771870158,7.281820586833677,7.597627263519535,7.930763981367566,0.2870011275819834
x=0.57,0.5480239367918736,7.829412702490063,7.493800160957504,7.1759087229990275,6.875542110787608,6.592467967248133,6.3264203905530945,6.077103536340478,5.844196083239059,5.627356325998799,5.426227652880999,5.240444176887855,5.069636318590788,4.913436175658855,4.771482555002894,4.643425583183265,4.528930846246707,4.427683039701257,4.3393891322760645,4.263781063622076,4.200618006866936,4.149688232864013,4.110810615053082,4.08383581300246,4.068647169731195,4.065161353469941,4.073328769118117,4.093133758668794,4.124594603566736,4.167763335518812,4.222725355807073,4.2895988567421615,4.3685340326021125,4.459712061301639,4.563343832238618,4.679668390446149,4.808951062627893,4.951481227315519,5.107569689911977,5.277545624679463,5.461753050981897,5.660546821734837,5.874288119620515,6.103339482633818,6.348059415817633,6.608796690330346,6.885884482090358,7.179634555495428,7.490331745763417,7.818229026839904,0.29609859671958494
